Family,Type
Flabanico,Estinte
Candiano,Estinte
Centranico,Estinte
Galbaio,Estinte
Monegario,Estinte
Orseolo,Estinte
Partecipazio,Estinte
Tradonico,Estinte
Tribuno,Estinte
Badoer,Evangeliche
Baseggio,Vecchie
Bragadin,Evangeliche
Contarini,Apostoliche
Corner,Evangeliche
Dandolo,Apostoliche
Falier,Apostoliche
Giustinian,Evangeliche
Gradenigo,Apostoliche
Dolfin,Apostoliche
Morosini,Apostoliche
Michiel,Apostoliche
Polani,Apostoliche
Sanudo,Apostoliche
Barozzi,Apostoliche
Belegno,Vecchie
Bembo,Evangeliche
Gauli,Vecchie
Memmo,Apostoliche
Querini,Vecchie
Soranzo,Vecchie
Tiepolo,Apostoliche
Zane,Vecchie
Zen,Vecchie
Ziani,Vecchie
Zorzi,Vecchie
Salamon,Vecchie
Barbarigo,Ducali
Donato,Ducali
Foscari,Ducali
Grimani,Ducali
Gritti,Ducali
Lando,Ducali
Loredan,Ducali
Malipiero,Ducali
Marcello,Ducali
Mocenigo,Ducali
Moro,Ducali
Priuli,Ducali
Trevisan,Ducali
Tron,Ducali
Venier,Ducali
Abramo,Nuove
Agadi,Nuove
Agnusdei,Nuove
Albizzo,Nuove
Amizzo,Nuove
Armer,Nuove
Arimondo,Nuove
Avanzago,Nuove
Baffo,Nuove
Balbi,Nuove
Barbaro,Nuove
Barbo,Nuove
Basadonna,Nuove
Belegno,Nuove
Benedetti,Nuove
Bernardo,Nuove
Bollani,Nuove
Boldù,Nuove
Bon,Nuove
Bondumier,Nuove
Briani,Nuove
Calbo,Nuove
Canal,Nuove
Cappello,Nuove
Caravello,Nuove
Celsi,Nuove
Civran,Nuove
Cocco,Nuove
Coppo,Nuove
Correr,Nuove
Dalle Boccole,Nuove
Da Lezze,Nuove
Da Mosto,Nuove
Da Mula,Nuove
Da Ponte,Nuove
Da Riva,Nuove
Diedo,Nuove
Duodo,Nuove
Emo,Nuove
Erizzo,Nuove
Fabriciaco,Nuove
Ferro,Nuove
Foscarini,Nuove
Foscolo,Nuove
Fradello,Nuove
Gabrielli,Nuove
Galanti,Nuove
Gambarin,Nuove
Ghisi,Nuove
Grioni,Nuove
Grisoni,Nuove
Gussoni,Nuove
Lanzuoli,Nuove
Lombardo,Nuove
Magno,Nuove
Manolesso,Nuove
Marin,Nuove
Mazaman,Nuove
Mengolo,Nuove
Mezzo,Nuove
Miani,Nuove
Miegano,Nuove
Minio,Nuove
Minotto,Nuove
Molin,Nuove
Muazzo,Nuove
Mussolino,Nuove
Nadal,Nuove
Nani,Nuove
Navager,Nuove
Navigroso,Nuove
Orio,Nuove
Pasqualigo,Nuove
Pesaro,Nuove
Pisani,Nuove
Pizzamano,Nuove
Polo,Nuove
Premarin,Nuove
Quintavalle,Nuove
Sagredo,Nuove
Selvo,Nuove
Semitecolo,Nuove
Sesendillo,Nuove
Signolo,Nuove
Sten,Nuove
Storladi,Nuove
Stornello,Nuove
Surian,Nuove
Talonico,Nuove
Valaresso,Nuove
Valier,Nuove
Viaro,Nuove
Vielmo,Nuove
Vitturi,Nuove
Volpe,Nuove
Zaguri,Nuove
Zancani,Nuove
Zancaruol,Nuove
Zantani,Nuove
Zulian,Nuove
Zusto,Nuove
Acotanto,Nuove
Agrinal,Nuove
Bonomo,Nuove
Costantino,Nuove
Donadi,Nuove
Marcimano,Nuove
Massoli,Nuove
Mastalizi,Nuove
Ruzier,Nuove
Ruzini,Nuove
Stanizi,Nuove
Tolonigo,Nuove
Tonisto,Nuove
Barison,Nuove
Benedetti,Nuove
Bondumier,Nuove
Lion,Nuove
Marmora,Nuove
Molin,Nuove
Surian,Nuove
Addoldo,Nuove
Agadi,Nuove
Agrinal,Nuove
Buoninsegna,Nuove
Caotorta,Nuove
Caroso,Nuove
Dente,Nuove
Diesello,Nuove
Ferro,Nuove
Grisoni,Nuove
Mengolo,Nuove
Papaciza,Nuove
Quintavalle,Nuove
Sesendillo,Nuove
Vidor,Nuove
Calergi,Nuovissime
Caresini,Nuovissime
Cicogna,Nuovissime
Condulmer,Nuovissime
Darduin,Nuovissime
Garzoni,Nuovissime
Girardi,Nuovissime
Lippomano,Nuovissime
Longo,Nuovissime
Mezzo,Nuovissime
Nani,Nuovissime
Negro,Nuovissime
Orso,Nuovissime
Paruta,Nuovissime
Pasqualigo,Nuovissime
Pietro Penzin,Nuovissime
Polo,Nuovissime
Renier,Nuovissime
Storladi,Nuovissime
Tagliapietra,Nuovissime
Trevisan,Nuovissime
Trevisan,Nuovissime
Vendramin,Nuovissime
Vizzamano,Nuovissime
Zaccaria,Nuovissime
Zusto,Nuovissime
Albrizzi,Soldo
Angaran,Soldo
Antelmi,Soldo
Ariberti,Soldo
Barbaran,Soldo
Belloni,Soldo
Beregan,Soldo
Berlendis,Soldo
Bonfadini,Soldo
Bonlini,Soldo
Bonvicini,Soldo
Bregonzi,Soldo
Bressa,Soldo
Cassetti,Soldo
Catti,Soldo
Condulmer,Soldo
Conti,Soldo
Correggio,Soldo
Crotta,Soldo
Dolce,Soldo
Dondi dell’Orologio,Soldo
Farsetti,Soldo
Ferramosca,Soldo
Ferro,Soldo
Fini,Soldo
Flangini,Soldo
Fonseca,Soldo
Fonte,Soldo
Gambara,Soldo
Ghedini,Soldo
Gherardini,Soldo
Giovanelli,Soldo
Giupponi,Soldo
Gozzi,Soldo
Labia,Soldo
Laghi,Soldo
Lazzari,Soldo
Lion Cavazza,Soldo
Lombria,Soldo
Lucca,Soldo
Macarelli,Soldo
Maffetti,Soldo
Manin,Soldo
Martinelli,Soldo
Medici,Soldo
Minelli,Soldo
Mora de San Marcuola,Soldo
Nave,Soldo
Ottoboni,Soldo
Papafava,Soldo
Pasta,Soldo
Piovene,Soldo
Poli,Soldo
Polvaro,Soldo
Raspi,Soldo
Ravagnin,Soldo
Rubini,Soldo
Sangiantoffetti,Soldo
Santasoffia,Soldo
Soderini,Soldo
Statio,Soldo
Surian,Soldo
Tasca,Soldo
Valmarana,Soldo
Van Axel,Soldo
Verdizzotti,Soldo
Vianol,Soldo
Widmann,Soldo
Zacco,Soldo
Zaguri,Soldo
Zambelli de San Giacomo dell’Orio,Soldo
Zanardi,Soldo
Zenobio,Soldo
Zolio,Soldo
Zon,Soldo
Acquisti,Soldo
Arnaldi,Soldo
Baglioni,Soldo
Barzizza,Soldo
Bellotto,Soldo
Benzon di San Vidal,Soldo
Bettoni,Soldo
Bonlini,Soldo
Brandolini,Soldo
Carminati,Soldo
Castelli,Soldo
Cavagnis,Soldo
Celini,Soldo
Codognola,Soldo
Contenti,Soldo
Cottoni,Soldo
Curti,Soldo
Fracassetti,Soldo
Franceschi,Soldo
Gallo,Soldo
Gheltoff,Soldo
Guerra,Soldo
Grassi,Soldo
Lin,Soldo
Manfrotto,Soldo
Manzoni,Soldo
Martinengo,Soldo
Mora di San Felice,Soldo
Morelli,Soldo
Nosadini,Soldo
Pellizzioli,Soldo
Pepoli,Soldo
Persico,Soldo
Recanati,Soldo
Redetti,Soldo
Rezzonico,Soldo
Rizzi,Soldo
Romieri,Soldo
Rota,Soldo
Sandi,Soldo
Scroffa,Soldo
Semenzi,Soldo
Spinelli,Soldo
Toderini,Soldo
Veronese,Soldo
Vezzi,Soldo
Zambelli di San Stin,Soldo
Zino,Soldo
Buzzaccarini,Soldo
Caiselli,Soldo
Martinengo,Soldo
Mussatti,Soldo
Pindemonte,Soldo
Pisani,Soldo
Ottolini,Soldo
Panciera di Zoppola,Soldo
Borini,Soldo
Spineda,Soldo
Trento,Soldo
